timestamp_unix,product_string,usage_page,usage,interface_number,serial_number,report_length,report_hex
1788334810.356541395,EEG Signals,65535,2,1,UD2022081200650D,32,61ba04571341c7c6d37e289f6530bc8898a22a6e5ff029d1990c107549be548c
1788334810.360517740,EEG Signals,65535,2,1,UD2022081200650D,32,ed055985e8bea9800d3ff7484a0cf65cb6942a3f018c074b9b8f252de9a3e8b0
1788334810.364495754,EEG Signals,65535,2,1,UD2022081200650D,32,4402b7f0e8e6e35557bad45e428d4237c00812a98e545d2b8df372d099731cf5
1788334810.368502378,EEG Signals,65535,2,1,UD2022081200650D,32,fe0776778b75f2fa99b5a61f9257d1027e5fca186d3a946dd474fe8592fc4994
1788334810.371502399,EEG Signals,65535,2,1,UD2022081200650D,32,89162bd197f969b276d925c2bb6a3a6add88139e694fb50a593ac24b2dc57736
1788334810.375514030,EEG Signals,65535,2,1,UD2022081200650D,32,53a816be49afdbf5c5c94169d69e68c235d73edb32a7af41cb1358038940639b
1788334810.379505157,EEG Signals,65535,2,1,UD2022081200650D,32,af4103857cf9eaf6c3a8ab742b11f80ca3f3cc307992af188b1223fb3654141e
1788334810.383503199,EEG Signals,65535,2,1,UD2022081200650D,32,8c689e5d872e29ae4ac0646b235051a3ace9d04f1bc706bbfd5aa11cbf90d6d8
1788334810.387517929,EEG Signals,65535,2,1,UD2022081200650D,32,bca19838ac21780ee2a114c171391d4b3365b7d007489024df40aa7d76d4c4e6
1788334810.391530037,EEG Signals,65535,2,1,UD2022081200650D,32,c5a1345d273a2e6595e3bdaeb5a6a2017d17e171e0c86ad383f2a9edaf48a688
1788334810.395502567,EEG Signals,65535,2,1,UD2022081200650D,32,670226534ac69d0cecfae46b9cc8c285da76a04673e913470d78f656be2d5cf5
1788334810.399504900,EEG Signals,65535,2,1,UD2022081200650D,32,2aa153e1e30e3dcfe71e4b36e5df3cb5e3a28df2081c96d673726c95a978ebe6
1788334810.403518438,EEG Signals,65535,2,1,UD2022081200650D,32,cfcaed6a006769180126ae14c55b935fdf11a8bee4c706156d897faa9a3c90f4
1788334810.407523155,EEG Signals,65535,2,1,UD2022081200650D,32,8230b582cc969cd672e4fc85b3d7b71306eaad9b292be35a456a0a4dd18c7cd0
1788334810.410496473,EEG Signals,65535,2,1,UD2022081200650D,32,a5a211d9ce84ad4f32343a94f3ca34044ffbbe0bd12f1d505e61489e19b59034
1788334810.414498329,EEG Signals,65535,2,1,UD2022081200650D,32,f1e0eb300fe87c688b1a8a465c9e6be5227beb1ce7c187c1dd11f1d5f58a4636
1788334810.418517590,EEG Signals,65535,2,1,UD2022081200650D,32,4d65ba970a48abadb18cffbd1fcfb7e5409c6aa715f3f4875fa79051c06fdc1e
1788334810.422531605,EEG Signals,65535,2,1,UD2022081200650D,32,8708003a4e3023373a73abe9423428419348eae5ce00179d60e4690ea6475df7
1788334810.426522732,EEG Signals,65535,2,1,UD2022081200650D,32,4a185dd290af1255bfa2ea4e586007a69416c5635eb3a291707dffc353bbdf2a
1788334810.430516243,EEG Signals,65535,2,1,UD2022081200650D,32,08e10dce4030f5868f8bdc7a9a757e2d2d8c24bb6e80a4498d6f6ae56c92575a
1788334810.434594393,EEG Signals,65535,2,1,UD2022081200650D,32,25ba4ed8df7663cf676df8f3635ecfe298375d7d18b560e171f5a92b0d2a4a8b
1788334810.438541889,EEG Signals,65535,2,1,UD2022081200650D,32,20ecb6a00f32f83ae7ec67bbfac8d1a6758470ef9ed6bca96900da8ac694460c
1788334810.442516804,EEG Signals,65535,2,1,UD2022081200650D,32,bead0d2131f2c7284977412b44d2735ea1579913d342f4e016756078364834e8
1788334810.446517467,EEG Signals,65535,2,1,UD2022081200650D,32,cf571c88a57efc3d45dfa313d7aa5ff5465d0a2d4a1125b6894e06ea9d76d70f
1788334810.450507164,EEG Signals,65535,2,1,UD2022081200650D,32,52d5b43718112208d54c681acb7aa8c5700060c3db80d35c3b466489c56541e5
1788334810.453532219,EEG Signals,65535,2,1,UD2022081200650D,32,c8415d612fd4f5f44f9548ab8db308e53aa789295b3e80633f49a1adff6c5fd5
1788334810.457535982,EEG Signals,65535,2,1,UD2022081200650D,32,da52344ed1e5d68b956c1977f7babb9537765d28a120551f368fe9c6af711b06
1788334810.461520433,EEG Signals,65535,2,1,UD2022081200650D,32,bca57067dc1b3a0bc536c526ea61945c77466f7309807bda00d178e8a7630ccf
1788334810.465518475,EEG Signals,65535,2,1,UD2022081200650D,32,3476d7d43a52e8e8c6d12386ebf74b4e4a8be1cce719fcdd5808252bba67c5ce
1788334810.469515562,EEG Signals,65535,2,1,UD2022081200650D,32,e470449badc4477f2e5caa9f2b67ccdccec0b08e6ee71d802ac8b4047d001774
1788334810.474532843,EEG Signals,65535,2,1,UD2022081200650D,32,ded7bfed379dc476e09ab07b6e8edb769711b0853327aba4bcfe860cb8a27442
1788334810.477510929,EEG Signals,65535,2,1,UD2022081200650D,32,c30ca0931925f9edf343d4526a6b9160e2a2049e9cb16c947f07ba516655e470
1788334810.481509447,EEG Signals,65535,2,1,UD2022081200650D,32,85753155d404fa5d70ce9db5e24374a356aeee60ff8125fbbf4b180eea4a40e8
1788334810.485519648,EEG Signals,65535,2,1,UD2022081200650D,32,7089f6c7bf91bc1b308370f36462a5e9a09497f77840383259883d9eb10141a7
1788334810.489508152,EEG Signals,65535,2,1,UD2022081200650D,32,9ee2cce6d25e7664f5ccc1dc7605454dee3c3cf9423ba18c3f78031758046b1a
1788334810.493500471,EEG Signals,65535,2,1,UD2022081200650D,32,3dec6994b35b1f116cb9036980cea01902e8945a5bfc4d38f5614462eb7e9cc6
1788334810.496546268,EEG Signals,65535,2,1,UD2022081200650D,32,c5dbc982d297d17eed1f68a55027c64f58ce28d9cc2305ced8bf99611d2a5784
1788334810.500510693,EEG Signals,65535,2,1,UD2022081200650D,32,edb7857079e69a29986d0cebe5f7c31432ed16432f9b3514fb9b36afa20b5b73
1788334810.504542828,EEG Signals,65535,2,1,UD2022081200650D,32,b19acfd5a26f3755bea898d8e0c6164e74a59d97eeaad8c73e10f33b0588ccd1
1788334810.508527040,EEG Signals,65535,2,1,UD2022081200650D,32,9333968e5b2e30735b171b1c41504584aa13f61c73c42e39af628b0cec2342fe
1788334810.512508154,EEG Signals,65535,2,1,UD2022081200650D,32,62317115c6307c20d5a0db778aae5857da6d18a3ef2cbeeab5d7beb29ba5038d
1788334810.516497612,EEG Signals,65535,2,1,UD2022081200650D,32,693cc8f4a54c252babf5d673e803089ece37ca7027c0d23150f055073d42c7c7
1788334810.520517111,EEG Signals,65535,2,1,UD2022081200650D,32,ab36ac85551b57f5d990172498d12270fa445e8b1fef7f6b399ce80ebc05ae53
1788334810.524518967,EEG Signals,65535,2,1,UD2022081200650D,32,2d86bf256a12ac43f5cb035781d92521e9125bc964ea7c4ca16e3cdec98b7da5
1788334810.528523445,EEG Signals,65535,2,1,UD2022081200650D,32,9ea7f24c0192f2b7f7a61ca19be133a61822092746315efefb2aa574bc6ab9bb
1788334810.531508684,EEG Signals,65535,2,1,UD2022081200650D,32,59942e8ea03db2586f9102a461b1420214e3ed171a8553500c4431b21a050546
1788334810.535518408,EEG Signals,65535,2,1,UD2022081200650D,32,fd468e4008704de20951b14aa247cfcbaa1e7487dd34a63be534847a945ab9ff
1788334810.539525747,EEG Signals,65535,2,1,UD2022081200650D,32,963d362b3d7cf001f945b956cc05efbe18afa82407c967b94cce36f686120799
1788334810.543504477,EEG Signals,65535,2,1,UD2022081200650D,32,a538767fe5474f22fb9c2dfe33f7802d31398857258bef29f0e63d9fcef20881
1788334810.547531605,EEG Signals,65535,2,1,UD2022081200650D,32,eff2f8b040a76f80bbb395dfca7c80f542c46ea3bb8135ba0324705c07f94d7e
1788334810.551515818,EEG Signals,65535,2,1,UD2022081200650D,32,2ec0e807a9dbfd655159b04754683c08e955093d446cb29683fd313fbdc8b65e
1788334810.555524588,EEG Signals,65535,2,1,UD2022081200650D,32,26a5af2e277cfcc3104277e7c00232b249d03600f817df7ea85fffdb7a8873b9
1788334810.559509039,EEG Signals,65535,2,1,UD2022081200650D,32,c600ee053cdc0e58ffe0654b2ec4206bf9cc802f9d737ff714673033e5d3c1b8
1788334810.563513994,EEG Signals,65535,2,1,UD2022081200650D,32,11463a0348bf7b20e488f59a4abd423ef773070d28eef810b1ebcfbafb773688
1788334810.567511559,EEG Signals,65535,2,1,UD2022081200650D,32,c3b599ba01aa977976513b21bf468ef50f244f2f29db58165ce4868bc04f60d3
1788334810.571531773,EEG Signals,65535,2,1,UD2022081200650D,32,a24fce87a8d4295226412412daed6d5fa04d8986bddd54af713989e77a188297
1788334810.574512959,EEG Signals,65535,2,1,UD2022081200650D,32,880b330dfa9ccabb829e7e119d9fc3b2ddcc53cd0f7bc83133f6927bfacc5f7d
1788334810.578519821,EEG Signals,65535,2,1,UD2022081200650D,32,d03f9ee25a4334165c1e602b30f20f32729329660005da043ebeba850a14db1e
1788334810.582513332,EEG Signals,65535,2,1,UD2022081200650D,32,d8996b64a732d458224f68e81c49f6d8da51080466ec4603e2105d94788444b8
1788334810.586532116,EEG Signals,65535,2,1,UD2022081200650D,32,866903ca58c5ad11d609ce7a64294ca9b7745b025e8066af39e827b4164b75ff
1788334810.590533972,EEG Signals,65535,2,1,UD2022081200650D,32,55244c560a38cf6c1937e9362f4899cbb8ca3467d01f91cb43df381d5fc91611
1788334810.594518185,EEG Signals,65535,2,1,UD2022081200650D,32,b3d4c23c9b3d9f287e331e84346ced800f6595577d75b7d39304eefa12c4468b
1788334810.598505497,EEG Signals,65535,2,1,UD2022081200650D,32,1b434e9e7079f623b3dc98e90a8dace595968af3eff51d69d9d8e78814c36c0a
1788334810.602541208,EEG Signals,65535,2,1,UD2022081200650D,32,f50c4cfb6bcc76f5c7334210c54a165c490ebc3fc5e0d2a8387269e2a1510774
1788334810.606555462,EEG Signals,65535,2,1,UD2022081200650D,32,8f989dd74c2e020784902346579f8172cd20414528453521ac6756021c9eb6ec
1788334810.610527039,EEG Signals,65535,2,1,UD2022081200650D,32,e0257f01ce1d143a5603793ecf7c9341e8c225a32c516777ffa790d01f63aa87
1788334810.613511324,EEG Signals,65535,2,1,UD2022081200650D,32,e8a84cff1616372de9ffbe4b8b5f5eb6ea9d1316f513c49c72a50a957995b67d
1788334810.617511511,EEG Signals,65535,2,1,UD2022081200650D,32,2ede6efa358cbe6b511a0434e31d78c954771caf2f774bb996d661c1c172c1b0
1788334810.621553421,EEG Signals,65535,2,1,UD2022081200650D,32,f185afd157fbc717679f7e2ba04b5c1d9dfc0c854d57c184e6450df07f367e3d
1788334810.625529289,EEG Signals,65535,2,1,UD2022081200650D,32,c1dcf4b4efb85b5e71aea0561a6bbcb4a14a111a625f031aef34c073f1680843
1788334810.629515171,EEG Signals,65535,2,1,UD2022081200650D,32,f1f81dd9175aeb10d574985b04ac804b8abe3d70b52d21c4cf9202708c80eef3
1788334810.633522272,EEG Signals,65535,2,1,UD2022081200650D,32,583edcb2b4760febdc646043bc35729f6b1ca96254cb0f9226cc20f2a5e5d118
1788334810.637523174,EEG Signals,65535,2,1,UD2022081200650D,32,74cf0f7601501fd3f49f834869b40f95e75e9a45d90dc9cdf090e308c89429ea
1788334810.641554117,EEG Signals,65535,2,1,UD2022081200650D,32,9e3786545e51e6695f326531e0ca96d118d704bbc76e8dd0d9fdfa99f833a941
1788334810.645517826,EEG Signals,65535,2,1,UD2022081200650D,32,b3188ddac3fad6ce0d8a0000f2baffab71395b70747c137a9be5c695b8455d1d
1788334810.649511576,EEG Signals,65535,2,1,UD2022081200650D,32,a04dfc8faa8f08b8207c17bc969ccb0e065bb57fd119d287e655729aa280fce3
1788334810.653527260,EEG Signals,65535,2,1,UD2022081200650D,32,adff6c5d2ada00b46bc37bccad0769b02047def911a1c52923ef784ed5d020a7
1788334810.656543016,EEG Signals,65535,2,1,UD2022081200650D,32,d0ddadfc8cded77f7ba0f8b548f277bbaa2fa74876800b48fdcaeae664373b07
1788334810.660523891,EEG Signals,65535,2,1,UD2022081200650D,32,0a33fec0d7b9ffa42b0fbc6b27b35eb71b70b659042630b74e8e75ea01ed7e12
1788334810.664514780,EEG Signals,65535,2,1,UD2022081200650D,32,c51701a4ac02c66d2c7119f7d7a01e82a2e1a075f578194579b71b925f1433cc
1788334810.668557882,EEG Signals,65535,2,1,UD2022081200650D,32,591eaba0f2d7f3abb5a0e2429b964a01c0a06c346890bfd44cbe5ec664b2992c
1788334810.672624111,EEG Signals,65535,2,1,UD2022081200650D,32,91bd1241ae9bbae1fab755b4b30dd7b109fd19d0673338bb4230b1c467ad18d7
1788334810.676511765,EEG Signals,65535,2,1,UD2022081200650D,32,722dd78d94cd638c949a0f4640755dce670c704fce883f3b0fec3d5faeeb7796
1788334810.680510759,EEG Signals,65535,2,1,UD2022081200650D,32,cf3c049da78f674e29c29b7fa1945b93a6f32116a95ab9516c101f8b25de776b
1788334810.684504509,EEG Signals,65535,2,1,UD2022081200650D,32,55b76342396a226c879110c40b69097c9a628aa7dcbb058f9ecd1b9b2a386299
1788334810.688524961,EEG Signals,65535,2,1,UD2022081200650D,32,ce79db5d6dcfdb94ea47f61029250042f65d6495a44d146236d8345cf506d8fb
1788334810.692512512,EEG Signals,65535,2,1,UD2022081200650D,32,02eab27e9020658290acc08e9673a55ecddd87ebee561e48475f5e3a722c3993
1788334810.695557117,EEG Signals,65535,2,1,UD2022081200650D,32,c145e11605ca676eec94daac6bdb64d879d284d3f0318f32526bebed69e597fb
1788334810.699509144,EEG Signals,65535,2,1,UD2022081200650D,32,b41dcde5a01b1ae03116f3b0f5e9580264a5e6ea003064fba28f02b284064c2a
1788334810.703552246,EEG Signals,65535,2,1,UD2022081200650D,32,a2570f5ec73deb4def96faa4235b636d73d965265dd779aef1f54768bb7cf7a0
1788334810.707513094,EEG Signals,65535,2,1,UD2022081200650D,32,8dd32f3e7044c96155e90123d662dcb0bbe9785c2357eb145d310de1015b9904
1788334810.711542130,EEG Signals,65535,2,1,UD2022081200650D,32,33162e1d3218ae1766ab4b2559bd1ab027ada027f976252c6e85272c697a876f
1788334810.715508699,EEG Signals,65535,2,1,UD2022081200650D,32,d13ef67534f608b27043524cf07e7b32a60e4c0d3d36b97b19285c1aa1ced54b
1788334810.719557524,EEG Signals,65535,2,1,UD2022081200650D,32,2517d937903f214f04b782dc7fcfd516ccb1ad546b69296d17dfcb8e9476aaa4
1788334810.723543882,EEG Signals,65535,2,1,UD2022081200650D,32,ef2f3ea45ace16c2cd0b512e74fd59c539cff560a50846e19881a5c7b6e75ede
1788334810.727515459,EEG Signals,65535,2,1,UD2022081200650D,32,70ab9608e7ad5043dbf6339a5db91fd5b597571a8a57ec96d440ac443ef1dbdd
1788334810.731521130,EEG Signals,65535,2,1,UD2022081200650D,32,73b08e6b53fc8b3cad03697be0313e0cc20f938358aadc42000a28959ae764df
1788334810.735564947,EEG Signals,65535,2,1,UD2022081200650D,32,f2e84be96f42b5f6de808a71e3fbb8def75b42ecec82054483ef55f1849517c6
1788334810.738536119,EEG Signals,65535,2,1,UD2022081200650D,32,da96552c99549d747b0417d9cd7456a281f5269b051a0328e9556986cda97fac
1788334810.742520809,EEG Signals,65535,2,1,UD2022081200650D,32,1c01be080bff448a99c4f6667dc5f366ea34773cc4d6f75418cfefca571a9cdb
1788334810.746522903,EEG Signals,65535,2,1,UD2022081200650D,32,ee1ac46521b5859d31c62f8358ade30f3186bca971518586ff7ea361b8e0ed5c
1788334810.750521183,EEG Signals,65535,2,1,UD2022081200650D,32,3e34e9ed43d4ea54b4dc6a780d780972cecd2391e756fd882e39eedb1dcd6f77
1788334810.754718542,EEG Signals,65535,2,1,UD2022081200650D,32,ea46bfd74f513060218e01b4940d2e8af087404d80427ca65525e0906d8963d7
1788334810.758545876,EEG Signals,65535,2,1,UD2022081200650D,32,92b6d81f0f01d7b31e60fc3715561edefbab28482dc5f770fecabf5b278de691
1788334810.762519836,EEG Signals,65535,2,1,UD2022081200650D,32,179e5fe235fff5b98dd8503f4d562062f139139abcdafb2816b5a3b2fa161245
1788334810.766522646,EEG Signals,65535,2,1,UD2022081200650D,32,d372af3edb2e1064f0875d308b159a0232ea93f9343e042ac6672e61904eed58
1788334810.770533085,EEG Signals,65535,2,1,UD2022081200650D,32,4a54038382162f760f3c1d2f4b66ee55c8bd15d051f15bf8f22406886be6adea
1788334810.774518967,EEG Signals,65535,2,1,UD2022081200650D,32,9f4b456470ef701ac7e661c36b4ee85a4382c7d2910866a2dcfa43aa75da0032
1788334810.777519703,EEG Signals,65535,2,1,UD2022081200650D,32,13dde7bc078f771cf146b2fc78274d744e1cb78a5db906b30dc60c10d3f0693e
1788334810.781517982,EEG Signals,65535,2,1,UD2022081200650D,32,ed75c86b186c2af453004961cc6ac9facce1a672aec98abab8fb9e9a96d6faa8
1788334810.785571575,EEG Signals,65535,2,1,UD2022081200650D,32,efb6c56f2b04d458c8c566ad6410b134d3ef1b90603cee64924494f90dd76666
1788334810.789534807,EEG Signals,65535,2,1,UD2022081200650D,32,4ad6844f3ec391a630271e92da7509499c3d78789a09983e48273537a4354e7c
