metric,label,scope,ratio_scale,gng_flex_n,gng_flex_median,gng_flex_first,gng_flex_last,gng_flex_slope_per_h,gng_flex_lo,gng_flex_hi,gng_flex_rho,gng_flex_p,gng_flex_constant,gng_flex_settled_slope_per_h,gng_flex_settled_lo,gng_flex_settled_hi,gng_flex_largest_step_share,oddball_flex_n,oddball_flex_median,oddball_flex_first,oddball_flex_last,oddball_flex_slope_per_h,oddball_flex_lo,oddball_flex_hi,oddball_flex_rho,oddball_flex_p,oddball_flex_constant,oddball_flex_settled_slope_per_h,oddball_flex_settled_lo,oddball_flex_settled_hi,oddball_flex_largest_step_share,step,step_pct,pooled_slope_per_h,pooled_lo,pooled_hi,pooled_rho,pooled_p,both_ci_exclude_zero
p2p_median_uv,1-s p2p median (uV),inner,True,11,17.34963512515135,19.313836313594194,17.92654035656579,-4.024308027120907,-18.378557874692845,4.503730489406319,-0.23636363636363636,0.4840911622253965,False,-3.7461699482539688,-11.558214001049892,7.735861006408959,0.5455073737973424,12,20.24090160321454,20.046428629979896,20.6255621465054,2.539778393972603,-5.731403966329133,6.963560204677963,0.15384615384615385,0.6330906812462617,False,2.616440623497846,-8.048895892505351,7.995053122127742,0.5805556905925133,2.891266478063187,16.664710567150703,2.9256291068985814,1.822166673673548,3.9477322986196093,0.733201581027668,6.890212328185204e-05,False
p2p_median_uv,1-s p2p median (uV),rim,True,11,21.834464841263106,24.509417995781664,21.83091337972498,-3.121232886450081,-23.287865965440442,16.228809418882157,-0.02727272727272728,0.9365584481926121,False,5.7538091352249285,-17.020671081312386,20.282767581083718,0.9634962587191324,12,26.220100287492336,24.114053955861735,27.017870036221325,6.5455693372503285,-3.8436177642326017,13.704056691969821,0.37762237762237766,0.22620604493502647,False,2.9550995038499375,-6.970734014846378,12.368708785953771,1.0,4.38563544622923,20.08583896199365,5.282402995105405,3.6260267686357617,6.323734308619573,0.7895256916996048,7.496154189589326e-06,False
p2p_p99_over_median,p2p p99 / own median,core,True,11,1.9784602431253764,3.62194369439044,2.0140052867948337,-1.2480212777995066,-9.84475440651769,2.72190745479561,-0.11818181818181818,0.7292847795197801,False,0.4368293371990587,-4.7686016751459075,3.663683667099117,0.8721235095877323,12,2.1442453137593867,2.6650354337510116,1.8694623242971373,-3.8759625133536124,-7.702126878409855,-0.9556339916587171,-0.7132867132867133,0.009201779777634764,False,-3.9365904777284824,-9.82946720417071,-0.6519719005835853,0.8151694840058428,0.16578507063401027,8.379499725105386,-0.09227666870377235,-1.2963695486785278,0.3208562249198088,-0.10968379446640317,0.6183444606587871,False
p2p_p99_over_median,p2p p99 / own median,inner,True,11,2.0140052867948337,2.0293105996702447,2.0140052867948337,-0.08807829851712352,-2.461057646212983,3.0773637008646366,-0.2545454545454546,0.45003657688882837,False,0.6134747922598897,-2.9670315424647176,3.4283235960808183,1.0,12,2.0828393357033015,2.1703985377898127,1.8694623242971373,-1.4496309003623014,-3.6025365637326336,0.3819863554933119,-0.6013986013986015,0.03858845292201946,False,-1.572054533510765,-6.6631807314487155,0.5142458441983775,0.8593678374285454,0.06883404890846778,3.4177690277076165,0.041647798705823295,-0.3202570440549464,0.34565930169539494,0.023715415019762844,0.9144659262773517,False
p2p_p99_over_median,p2p p99 / own median,rim,True,11,2.28264759195905,3.0408304318234234,2.013273304357658,-1.3735246825758565,-9.92058390871149,6.511836092419608,-0.08181818181818183,0.8109903943000459,False,1.0692041736950577,-8.543919524695466,10.872407713175846,1.0,12,2.0549642093789195,2.606306194205845,2.039096140237027,-3.8149904235306984,-5.844030908741463,-1.9972455549949355,-0.7972027972027973,0.0019003677255282697,False,-3.9052179989381566,-6.357222974386438,-1.2635896811456924,0.5330566647164849,-0.22768338258013054,-9.974530601314786,-0.4629974369505237,-1.336779719719725,0.10790628880463327,-0.2865612648221344,0.18495103236810762,False
pct_windows_over_common,% of seconds over 120 uV,core,False,11,0.0,0.0,0.0,0.0,0.0,0.0,,,True,0.0,0.0,0.0,,12,0.0,0.0,0.0,0.0,0.0,0.0,,,True,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,,False
pct_windows_over_common,% of seconds over 120 uV,inner,False,11,0.0,0.0,0.0,0.0,0.0,0.0,,,True,0.0,0.0,0.0,,12,0.0,0.0,0.0,0.0,0.0,0.0,,,True,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,,False
pct_windows_over_common,% of seconds over 120 uV,rim,False,11,0.0,0.0,0.0,0.0,0.0,0.0,,,True,0.0,0.0,0.0,,12,0.0,0.0,0.0,0.0,0.0,0.0,,,True,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,,False
rail_pct,% of samples railing the delta encoder,core,False,11,0.0,0.012913223140495868,0.0,0.0,-0.0743124124181798,0.525224861013564,0.23792716660637273,0.4811184908452233,False,0.0,0.0,0.5712126092285269,0.7000000000000001,12,0.21142926507371163,0.5035506778566817,0.10330578512396695,-1.7556594064486517,-3.2495319032329837,-0.7747059883129199,-0.7915949092223313,0.002156103961918729,False,-1.5871439436712231,-3.5919710740607553,-0.5320502895531422,0.75,0.21142926507371163,,0.12594636526393957,0.034759427837573714,0.2961265122776851,0.6201645483984785,0.0015952097936373982,False
rail_pct,% of samples railing the delta encoder,inner,False,11,0.0,0.0,0.0,0.0,0.0,0.4823076845976047,0.41064008226409476,0.20965017082130333,False,0.0,0.0,0.5712126092285269,0.7000000000000001,12,0.21142926507371163,0.49063912201420273,0.10330578512396695,-1.74813502726787,-3.3277987786201004,-0.7747059883129199,-0.795097541564023,0.0019934857741352894,False,-1.590188175541448,-3.8540692754419714,-0.6685535047677814,0.7291666666666666,0.21142926507371163,,0.12594636526393957,0.0332410397091165,0.30245186274480684,0.6380004273303396,0.0010549521589612169,False
rail_pct,% of samples railing the delta encoder,rim,False,11,0.03873466752743705,0.05810950413223141,0.03873466752743705,0.30140340101878943,-0.26088434780102626,0.9912076019389954,0.46790960017870326,0.14667428677700398,False,0.3617307634482036,0.0,1.1454820373965673,0.5000322787001661,12,0.36466673427757784,0.9296320206584894,0.3228305785123967,-2.867824092486871,-4.920144960838042,-0.7989168656288577,-0.7972027972027973,0.0019003677255282697,False,-2.637886791564562,-5.2275078443313205,-0.541654512107843,0.5662650602409639,0.3259320667501408,,0.32188459747554615,0.1889195492420176,0.4431254326809527,0.6884276364676026,0.00028164560153225556,False
pops_per_min,electrode pops / min,core,False,11,0.0,0.0,0.0,0.0,0.0,0.0,,,True,0.0,0.0,0.0,,12,0.0,0.0,0.0,0.0,0.0,0.0,,,True,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,,False
pops_per_min,electrode pops / min,inner,False,11,0.0,0.0,0.0,0.0,0.0,0.0,,,True,0.0,0.0,0.0,,12,0.0,0.0,0.0,0.0,0.0,0.0,,,True,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,,False
pops_per_min,electrode pops / min,rim,False,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,False,0.0,0.0,0.0,1.0,12,0.0,0.0,0.0,0.0,0.0,0.0,,,True,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,-0.1928473039599675,0.37799097909168317,False
wander_uv,"baseline excursion, p10-p90 of 1-s level (uV)",core,True,11,13.642167282103665,13.642167282103665,35.03482542038,128.09774605586213,-48.978060230090996,258.78345991742367,0.6000000000000001,0.05100326070695074,False,163.06892453859464,-27.651647155115114,270.71405078261097,1.0,12,27.395097684860332,27.613451194762057,24.418678951265235,-29.189264295060518,-120.56734812932612,64.35490165047736,-0.32867132867132864,0.2969041156887641,False,-36.970268162770054,-187.25262124002995,64.35490165047736,0.7418959308794284,13.752930402756666,100.81191733221381,12.37024283295836,-5.711454176920429,24.65855366098229,0.33102766798418976,0.12285642475804451,False
wander_uv,"baseline excursion, p10-p90 of 1-s level (uV)",inner,True,11,11.607222318649242,11.607222318649242,37.15134820938238,147.0001406621068,-22.877080878137008,256.7983483407346,0.5545454545454546,0.07665233333978243,False,170.47648216060446,-8.441477204034847,290.2254461522232,1.0,12,23.43908390998834,24.15278100967348,21.588644027713272,-25.603721381797875,-120.34835663852368,60.48197947175904,-0.3426573426573427,0.2755674509567803,False,-46.02967296550097,-239.8617968005868,60.48197947175904,0.8458565422374971,11.831861591339099,101.93534048476809,9.956430118901006,-10.280947148173453,21.384208638945868,0.30830039525691705,0.15236092668791043,False
wander_uv,"baseline excursion, p10-p90 of 1-s level (uV)",rim,True,11,27.859276456418115,28.343974685669444,33.680427265168134,66.49138633909355,-73.28310660085222,188.54416984939007,0.4090909090909091,0.21154501034209602,False,113.97615585821035,-45.72353006792584,290.2635745111722,1.0,12,53.9787837266916,55.70375814437839,61.96931114196849,-16.752237975854023,-238.09411629700512,89.88727900949041,-0.08391608391608392,0.7954145018538978,False,-16.20860035550682,-296.4430095680853,124.91296293620293,0.8090214822135594,26.119507270273488,93.75515301387583,33.57608941836081,13.077237046521978,47.982866698717636,0.5306324110671937,0.009189293482353313,False
wander_rate_uv_per_s,"baseline movement (uV/s, median)",core,True,11,3.189382553100546,2.9643192291261187,9.883247375488736,39.816724013065205,6.806569622106838,72.21423525114123,0.790909090909091,0.003746082953397407,False,49.22560415316585,18.26850314635062,79.11446810681585,0.8955757985574627,12,4.211750984191902,6.233446121215849,4.251617431642032,2.381474231277713,-14.849755749736792,11.25014577863895,0.09090909090909093,0.7787253962454419,False,4.707894399517236,-6.269852146638205,14.610208539183454,0.8847306997278558,1.0223684310913557,32.05537166112181,1.3867557830642672,-0.7745029493540313,3.5719015230943336,0.4407114624505929,0.03530661683884887,False
wander_rate_uv_per_s,"baseline movement (uV/s, median)",inner,True,11,3.006134033203921,2.948347568512556,9.883247375488736,39.90863697837254,2.928155717262917,71.28784279864422,0.8181818181818182,0.0020831448404786917,False,49.38939426682662,19.012732819045752,77.67821745747412,0.8642280900127247,12,4.098739147187228,5.5602722167967045,3.765239715577252,0.7216535330746793,-13.951807215587248,8.375575375242772,0.06293706293706294,0.8459309212287789,False,2.4476088526700672,-12.31417013768039,14.73256266508351,0.9326805400034517,1.092605113983307,36.345854905837804,1.3344434525509656,-0.8086040216112558,3.1806881715471578,0.4229249011857708,0.0443623775730566,False
wander_rate_uv_per_s,"baseline movement (uV/s, median)",rim,True,11,6.5921010971068625,6.5921010971068625,9.146141052246186,22.090028067922642,-12.798025311702752,59.985616548129656,0.5363636363636364,0.08895341813596268,False,31.38347595080327,-12.78315437413112,71.35149744630557,1.0,12,8.026063561438974,7.205696582794115,7.053473472595698,0.45880483733511784,-18.894009249369603,15.751685458353176,0.09090909090909093,0.7787253962454419,False,-2.3805791689079596,-22.646590140927437,16.481700872177132,0.846956338835399,1.4339624643321116,21.7527377570324,2.3860004304566202,0.26619075455573227,4.995774898716026,0.541501976284585,0.007616587228798894,False
gaps_per_min,radio dropouts / min,core,False,11,1.0051040439733019,0.0,0.0,0.0,0.0,9.385146206208947,0.15075567228888181,0.6581584423866585,False,0.0,-11.115115110251212,9.385146206208947,1.0,12,1.005038282127975,0.0,1.0051040439733019,0.0,-5.038957214701934,5.038960093423704,0.0,1.0,False,0.0,-7.235715101714308,0.0017029965373914686,1.0,-6.576184532680607e-05,,0.0,0.0,0.0,0.034023469046444,0.877518680479976,False
gaps_per_min,radio dropouts / min,inner,False,11,1.0051040439733019,0.0,0.0,0.0,0.0,9.385146206208947,0.15075567228888181,0.6581584423866585,False,0.0,-11.115115110251212,9.385146206208947,1.0,12,1.005038282127975,0.0,1.0051040439733019,0.0,-5.038957214701934,5.038960093423704,0.0,1.0,False,0.0,-7.235715101714308,0.0017029965373914686,1.0,-6.576184532680607e-05,,0.0,0.0,0.0,0.034023469046444,0.877518680479976,False
gaps_per_min,radio dropouts / min,rim,False,11,1.0051040439733019,0.0,0.0,0.0,0.0,9.385146206208947,0.15075567228888181,0.6581584423866585,False,0.0,-11.115115110251212,9.385146206208947,1.0,12,1.005038282127975,0.0,1.0051040439733019,0.0,-5.038957214701934,5.038960093423704,0.0,1.0,False,0.0,-7.235715101714308,0.0017029965373914686,1.0,-6.576184532680607e-05,,0.0,0.0,0.0,0.034023469046444,0.877518680479976,False
delta_db,1-4 Hz power (dB),core,False,11,6.060807202944111,8.676165603214045,6.7607738390099,0.22955796971305126,-21.50457331484346,13.582640812705797,0.0,1.0,False,4.984370391969592,-8.952952103803746,17.44724725502077,0.8922497240632061,12,7.1226537039178535,8.877592539258664,6.857561519465171,-1.79257784284498,-12.157059146225725,5.77127032424692,-0.1188811188811189,0.712884219214772,False,1.3989981403333194,-10.030904530012815,8.503598307532855,0.9515109064620487,1.0618465009737426,,1.5654118364389376,0.21044158488985087,3.068154953500717,0.5,0.015117916451873051,False
delta_db,1-4 Hz power (dB),inner,False,11,5.510592368846367,6.824271019661529,6.273694770621791,0.22735863786713692,-14.560718765013732,10.153884983325161,-0.06363636363636364,0.8525390725425217,False,7.80725553026945,-9.085868263788191,12.574932518165628,0.7680470378672901,12,7.045676387642749,6.602559594314398,6.857561519465171,1.6151933931815576,-9.340795768077747,7.849239478324765,0.27272727272727276,0.39109677094189615,False,0.46190612063961484,-10.458691317946364,9.717682061044972,1.0,1.5350840187963826,,2.0619243839700516,1.0481206499717861,3.1916547036699994,0.6867588932806324,0.0002954235478908242,False
delta_db,1-4 Hz power (dB),rim,False,11,7.334212671595317,9.306664698328156,8.330935584173393,8.225134364643589,-10.271607675558476,24.365803741914757,0.18181818181818182,0.5926152128455,False,13.642281749224264,-5.2206811116666225,29.898295746563633,0.8460696214357094,12,9.550709613882452,9.084220897711088,9.158089037838966,-1.6280097604342523,-16.22572046924441,8.146845428175794,-0.08391608391608392,0.7954145018538978,False,-5.655138683714551,-19.316240067091492,8.146845428175794,0.8017196752266882,2.216496942287135,,2.815485586423098,1.260328789528528,4.280171348899945,0.658102766798419,0.0006413306692101035,False
theta_db,4-8 Hz power (dB),core,False,11,2.6027664600592244,2.9044598198111427,3.5357783782427616,5.996123220200357,-5.105350288115815,11.908352593113257,0.36363636363636365,0.27163754099382253,False,6.856458147267593,-0.94165954235173,17.546031464715686,0.6549748936492646,12,3.822616880230288,4.0221211180127225,3.7642839240705457,-2.04600425641883,-4.728394786610139,1.1694635217279734,-0.39860139860139865,0.19933549461780897,False,-2.3663112076472013,-5.379916171979648,1.8099836402688303,0.6765914072242317,1.2198504201710634,,1.3893072029122147,0.6972779948112429,1.9275891059180792,0.7055335968379446,0.00016947814720801564,False
theta_db,4-8 Hz power (dB),inner,False,11,2.430646775873763,2.488348071827135,3.39238810772076,3.172619806041049,-2.3063240489716397,11.551928316100524,0.36363636363636365,0.27163754099382253,False,5.983827842909504,-2.3063240489716397,13.268174040767795,0.6796135870614602,12,3.63254663393659,3.6836070777114314,3.6459049005573907,-0.5876250378028527,-3.4589038524100264,1.5424297514684018,-0.2447552447552448,0.44326193645018325,False,-1.0648210655343897,-4.816636209444395,2.8069742573812237,0.5878920392330967,1.201899858062827,,1.463183714717394,0.9622560656607229,1.956057439482551,0.7341897233201582,6.658979085184161e-05,False
theta_db,4-8 Hz power (dB),rim,False,11,4.401067837702514,4.401067837702514,4.6364513471375215,4.987708675004925,-3.451947285453298,15.44772540888414,0.6272727272727273,0.03884525362035334,False,9.347378269967749,0.057277519008507895,19.597459550925986,0.8508952952178926,12,5.15212131247434,5.09793045253846,5.380578733786614,-1.6721563951884013,-6.059531302694905,2.527134845927134,-0.3216783216783217,0.30790987618065263,False,-2.9414743813642183,-7.120117253592891,2.6719723525491976,0.7251819425360426,0.751053474771826,,1.2397775050910023,0.5989089939305301,2.086267130660035,0.717391304347826,0.00011670655786167376,False
alpha_db,8-13 Hz power (dB),core,False,11,0.7112576912782219,1.048534600718415,0.8754509114363016,2.9746925487811895,-9.303420597855451,11.580795660411507,0.2545454545454546,0.45003657688882837,False,6.345382823738841,-5.494386643781119,20.061479072464795,0.6207574753138292,12,1.723217179634871,1.2916014827656805,2.0008386164696734,-1.5668122025234195,-6.032112084080137,1.651464172519856,-0.15384615384615385,0.6330906812462617,False,-2.9186929449423626,-6.298441830766777,1.154445883948995,1.0,1.011959488356649,,1.0032366438987654,0.4060306192750819,1.6957544096506891,0.6245059288537549,0.0014457723176397256,False
alpha_db,8-13 Hz power (dB),inner,False,11,0.46632778601395136,0.16284257268847602,0.8110628332262404,3.4929679258074744,-3.146263211379057,11.473121022337649,0.5272727272727273,0.09556521835315425,False,3.303130904601619,-3.146263211379057,14.318950680357377,0.8148722488617576,12,1.343352537380242,1.2916014827656805,1.4836263247900967,-1.3533723184498958,-3.668485006381148,0.5517955895482037,-0.3706293706293707,0.23562100351264567,False,-2.5108719921693723,-4.8261000167752925,0.05429723569806837,0.7212409344075309,0.8770247513662905,,0.9919009697844796,0.6042676699773672,1.5955057024017067,0.7302371541501976,7.626551766091892e-05,False
alpha_db,8-13 Hz power (dB),rim,False,11,2.8025854496060836,2.910108886822502,2.7580415200840642,1.8014351539850182,-4.034865893411814,13.333795926666806,0.20909090909090913,0.5372209352113227,False,5.4094317929081,-3.0700859792081077,14.56722545131752,0.7746218370545543,12,3.323934755512173,3.135323163993394,4.107868820977063,-1.0404258674634046,-5.730343147675898,4.177535545105616,-0.1188811188811189,0.712884219214772,False,-2.5054223834511804,-8.921493647679418,4.0209525907273855,0.9361433932971843,0.5213493059060896,,0.8295377948854569,0.24070515482216065,1.7363533048427353,0.6096837944664032,0.002011096915199293,False
beta_db,13-30 Hz power (dB),core,False,11,4.7801939713847545,5.187798353042017,3.92322080311879,-8.438159260738926,-12.46301012391605,-1.1819386228732305,-0.7545454545454545,0.007282041008429154,False,-9.863329977864893,-12.979654230066535,-1.1819386228732305,0.628448222206889,12,5.193400365254226,4.055181085347032,5.088225966846989,-3.9810404452049823,-7.687400896750181,2.47992545297633,-0.3916083916083916,0.20806346369535322,False,-4.714513636879029,-9.683611351927299,-1.4695557103674068,1.0,0.4132063938694719,,-0.04050217514601999,-1.0250724447737392,0.7963186051995599,0.021739130434782608,0.9215714810608446,False
beta_db,13-30 Hz power (dB),inner,False,11,4.7801939713847545,5.187798353042017,4.147081491060293,-6.365414880640064,-11.10525721728177,-1.1819386228732305,-0.7636363636363637,0.006233059747904754,False,-7.538062484320535,-11.442059734837224,-1.1819386228732305,0.628448222206889,12,5.193400365254226,4.055181085347032,5.088225966846989,-4.500457386827179,-7.610016009651343,3.430814833709602,-0.37762237762237766,0.22620604493502647,False,-5.271083515657582,-8.418037912918475,-2.073983788165506,0.9980423111550248,0.4132063938694719,,0.007382831346966473,-1.0043294640278349,0.8765777508038969,0.07806324110671936,0.7233078775886128,False
beta_db,13-30 Hz power (dB),rim,False,11,7.2040946361570395,7.694329622152736,6.610575609939053,-3.5874980170532393,-9.551337673243527,2.06480954207823,-0.44545454545454555,0.16973260492681186,False,-2.8550824299508335,-9.551337673243527,3.9425498764648745,0.8528754114503597,12,8.508412026185601,7.367839623865279,9.016681732185665,2.0701167351448766,-1.8161262398721094,6.460039193452452,0.2657342657342658,0.4038330883147116,False,0.8594527574631768,-3.0195434362009754,4.843854079361928,0.7625201554573964,1.3043173900285616,,1.3891712932981655,0.8928483230881596,1.973893958554064,0.7134387351778656,0.00013242709134158735,False
theta_rel_pct,"theta, % of 1-30 Hz",core,False,11,17.733190704398748,16.710245115596692,20.4328272127114,18.020891712748806,1.144402416296575,30.6849094678375,0.6636363636363638,0.0259841339187655,False,19.223756658951714,-1.2855320303846485,33.63200523746384,0.6539038812951419,12,19.04282756466882,20.44913041702331,20.033724881095743,-3.139428911465057,-13.661552209673902,19.72110062696823,-0.1258741258741259,0.696683109395766,False,4.665518837143039,-10.795769151303713,30.36791100588006,0.9156491469195384,1.3096368602700714,,1.1893457826966205,-0.5831077956719786,3.324883834572188,0.2806324110671937,0.19460991482665602,False
theta_rel_pct,"theta, % of 1-30 Hz",inner,False,11,16.847114528610355,16.710245115596692,19.42788657251888,7.318197887785862,-4.650641251528723,22.493815962395306,0.2545454545454546,0.45003657688882837,False,6.637224278128975,-7.703906977553893,27.681092408091978,0.9936188506127045,12,17.61340511178674,18.97422771186085,17.064715056867517,0.00880704622652737,-8.897948026382474,12.033698433298877,0.0,1.0,False,3.444417904898637,-6.229676164821093,13.418810307372764,0.7412807862426881,0.7662905831763851,,0.26905660746461085,-1.3254645347044736,1.4691628379346968,0.1422924901185771,0.5172025426940691,False
