session,device,channel,region,hf_20_40_uv_rms,rms_1_20_uv,p2p_median_uv,p2p_p99_uv,p2p_p99_over_median,pct_windows_over_common,pct_break_windows_over_common,pct_all_windows_over_common,pops_per_min,rail_pct,marked_bad,erp_trials,single_trial_noise_uv,evoked_sem_uv
gng_epocx,epocx,F4,frontal,0.6539275481284177,6.266718961350734,21.51302548037491,136.00144075941483,6.321818420355663,2.0285499624342602,0.0,1.9579405366207396,1.5681752666474489,,True,0,,
gng_epocx,epocx,F8,frontal,0.5955808194471576,2.789042046978846,14.989526701114475,37.07172409031002,2.4731750928168887,0.0,0.0,0.0,0.0,,False,379,6.820178830878166,0.3503290548365747
gng_epocx,epocx,AF4,prefrontal,0.9787893925550866,4.276575322661809,20.70744305759535,77.04992109797276,3.720880500970948,0.2253944402704733,0.0,0.21754894851341552,0.09224560392043818,,False,375,6.822196949101453,0.352296735578893
gng_flex,flex,C3,central,1.0716052317228728,2.9377389533343843,13.744433056928163,30.577401990413712,2.2247117697590695,0.3770739064856712,14.285714285714285,0.8727272727272728,0.1039171909884311,0.42253521126760557,False,387,6.739620097011538,0.3425941431263833
gng_flex,flex,T7,central,1.5571170019985667,4.383122048236886,18.66468016457074,98.45149106727992,5.274748358890196,0.603318250377074,44.89795918367347,2.181818181818182,0.5195859549421554,0.34121395036887997,False,383,5.795078489986837,0.2961146781642261
gng_flex,flex,FC1,fronto-central,2.4533356837767077,3.1927681028054193,26.22512610206018,64.3052529935221,2.4520474274657706,0.3770739064856712,10.204081632653061,0.7272727272727273,0.1039171909884311,0.39570757880617036,False,386,6.602977496558617,0.3360827056336891
gng_flex,flex,FC5,fronto-central,1.3619698411002956,2.7672042108623005,16.050721242903432,36.61098256647783,2.2809556039523637,0.22624434389140274,12.244897959183673,0.6545454545454545,0.1039171909884311,0.39403085177733066,False,386,6.539059422172492,0.3328293613068637
gng_flex,flex,FT9,fronto-central,1.9694606224878317,5.661005734974351,29.097788261173935,113.28476058726574,3.8932430042603974,0.904977375565611,59.183673469387756,2.9818181818181815,0.4156687639537244,0.34624413145539906,False,380,6.327239489759599,0.32458053724758323
gng_flex,flex,F3,frontal,1.752511179094559,4.087088902095342,19.623791455456946,85.0149958938521,4.332241100646802,0.6787330316742082,10.204081632653061,1.0181818181818183,0.2078343819768622,0.4736753856472166,False,384,7.626137161991178,0.3891696824032293
gng_flex,flex,F7,frontal,1.540095990603375,3.800561985785621,20.75917533726228,64.9186371840002,3.127226208618828,0.1508295625942685,55.10204081632652,2.109090909090909,0.1039171909884311,0.482897384305835,False,388,7.0585812824439635,0.3583451718206711
gng_flex,flex,Fp1,prefrontal,2.222300578738512,3.58534977634492,21.69486857655606,82.92875753198979,3.822505641799756,0.3770739064856712,57.14285714285714,2.4,0.1039171909884311,1.5425888665325285,False,387,7.525221898642235,0.3825285269928499
gng_flex,flex,Pz,parietal,1.494655330515318,2.7019039542312497,17.90608519261691,40.14129752950001,2.2417684880696975,0.07541478129713425,67.3469387755102,2.4727272727272727,0.2078343819768622,0.613682092555332,False,387,6.218854319337928,0.31612213093525915
gng_flex,flex,Cz,central,1.2732724423459127,2.9468355427477024,17.478303007189425,36.731912755421575,2.101572031352957,0.0,20.408163265306122,0.7272727272727273,0.0,0.4535546613011402,False,389,7.167751190046435,0.363419411555226
gng_flex,flex,O1,occipital,4.735520449658053,5.690837862646682,40.56602659509653,81.20709171661127,2.001849787438321,0.07541478129713425,81.63265306122449,2.9818181818181815,0.9352547188958799,2.0129107981220655,True,0,,
