site,session,device,channel,hf_20_40_uv_rms,p2p_p99_over_median,pct_windows_over_common,pops_per_min,single_trial_noise_uv,marked_bad
P7,oddball_flex,flex,P7,2.3314865379527263,2.266325005367556,0.0,0.0,7.369316446203601,False
O1,gng_epocx,epocx,O1,1.2454112643155892,1.6172203511503946,0.0,0.0,5.068505940415007,False
O1,gng_epocx_2,epocx,O1,1.6003996680288806,2.510693403103208,0.6721433905899925,0.36789097397698284,6.4494480995325585,False
O1,gng_flex,flex,O1,4.735520449658053,2.001849787438321,0.07541478129713425,0.9352547188958799,,True
O1,oddball_flex,flex,O1,4.649854327747821,2.74853930071793,0.7377598926894702,0.23545041132287567,10.418171092068123,False
O2,gng_epocx,epocx,O2,1.0523746020089284,1.7960821944923862,0.0,0.0,5.349733763013029,False
O2,gng_epocx_2,epocx,O2,1.0994100062903376,1.8143221179314202,0.07468259895444362,0.09197274349424571,6.2679004150897,False
O2,gng_flex,flex,O2,2.548410592825376,2.6730806560321763,0.0,0.6235031459305865,6.397487317952493,False
O2,oddball_flex,flex,O2,2.9383559356825586,6.308092493075361,2.9510395707578807,0.706351233968627,9.485059060429448,False
P8,gng_epocx,epocx,P8,0.897485623063374,1.7573727734854985,0.0,0.0,5.902620080574761,False
P8,gng_epocx_2,epocx,P8,0.8943767129052126,3.568435029581369,0.07468259895444362,0.09197274349424571,6.799348821018623,False
P8,gng_flex,flex,P8,2.5676258964348984,3.010266451614088,0.0,0.7274203369190176,7.5593863396711205,False
P8,oddball_flex,flex,P8,2.6744493038640993,2.1381812729729335,0.0,0.0,10.149094849051364,False
T8,gng_epocx,epocx,T8,1.0165582096885697,1.705041937786202,0.0,0.0,6.7773912111662025,False
T8,gng_epocx_2,epocx,T8,0.8701559515755245,3.353827248651474,0.14936519790888725,0.18394548698849142,8.320799342248806,False
T8,gng_flex,flex,T8,2.2566412593520857,2.7800829239813787,0.1508295625942685,0.8313375279074487,8.233943111754385,False
T8,oddball_flex,flex,T8,2.437064038837944,4.650186137356071,1.0731052984574112,0.0,10.276368984266472,False
FC6,gng_epocx,epocx,FC6,0.6662933148441613,1.8199223439508134,0.07513148009015778,0.0,7.285164567847612,False
FC6,gng_epocx_2,epocx,FC6,0.7719114248662449,3.020434600818912,0.37341299477221807,0.18394548698849142,7.85064162737778,False
FC6,gng_flex,flex,FC6,1.8770188250865725,3.538492592854739,0.0,0.0,8.349867115282755,False
FC6,oddball_flex,flex,FC6,2.0506356441209195,3.972633339307715,0.0670690811535882,0.0,10.67082879722119,False
F4,gng_epocx,epocx,F4,0.6539275481284177,6.321818420355663,2.0285499624342602,1.5681752666474489,,True
F4,gng_epocx_2,epocx,F4,0.7104745245193569,3.2276229424401137,0.0,0.09197274349424571,7.618866850465648,False
F4,gng_flex,flex,F4,2.083580267176236,3.3579639223635294,0.0,0.0,8.085830896020195,False
F4,oddball_flex,flex,F4,2.4983772188776214,3.052780115117508,0.1341381623071764,0.0,10.434719072497764,False
F8,gng_epocx,epocx,F8,0.5955808194471576,2.4731750928168887,0.0,0.0,6.820178830878166,False
F8,gng_epocx_2,epocx,F8,0.6479985633956257,2.564254016304511,0.07468259895444362,0.09197274349424571,7.251748418097556,False
F8,gng_flex,flex,F8,1.6089108144644024,2.2765263332370607,0.0,0.0,7.869648822938025,False
F8,oddball_flex,flex,F8,1.592325908732174,2.3977731357351715,0.0,0.0,9.941891713087957,False
AF4,gng_epocx,epocx,AF4,0.9787893925550866,3.720880500970948,0.2253944402704733,0.09224560392043818,6.822196949101453,False
AF4,gng_epocx_2,epocx,AF4,0.6742996552166106,2.2673821034581447,0.07468259895444362,0.09197274349424571,7.157237234953254,False
AF4,gng_flex,flex,Fp2,1.5016924388774888,3.1760794900526768,0.1508295625942685,0.0,7.273100457196987,False
AF4,oddball_flex,flex,Fp2,1.4553355712261264,2.2966521913357116,0.0,0.0,9.159094686930652,False
