session,device,channel,region,pair,alpha_db_closed,alpha_db_open,alpha_rel_db_closed,alpha_rel_db_open,closed_minus_open_db,rel_closed_minus_open_db
oddball_flex,flex,F3,frontal,2,2.7117814873416615,3.5397672057038365,-0.6285613414692236,-0.00667903396938576,-0.827985718362175,-0.6218823074998379
oddball_flex,flex,F4,frontal,1,3.5582359939886454,5.837201939123993,-0.5203320827504858,-0.04612360958272839,-2.2789659451353477,-0.47420847316775744
oddball_flex,flex,F4,frontal,2,3.758812364411809,3.937240944388653,-0.25050317902247926,-0.24907354623712352,-0.17842857997684414,-0.001429632785355739
oddball_flex,flex,F7,frontal,1,2.0857557774583015,5.965393956825057,-0.3200368338768155,0.1232460546785099,-3.8796381793667556,-0.4432828885553254
oddball_flex,flex,F7,frontal,2,2.4024413922800907,3.8213037145269735,-0.3102417779640697,0.49866119774161227,-1.4188623222468828,-0.808902975705682
oddball_flex,flex,F8,frontal,1,4.01649644796985,6.195700883357821,-0.03311848025420315,-0.7532629027141031,-2.1792044353879714,0.7201444224599
oddball_flex,flex,F8,frontal,2,4.219683904747998,4.567118678455632,0.23431962568136258,-0.06583378055741083,-0.34743477370763376,0.3001534062387734
oddball_flex,flex,FC1,fronto-central,1,1.9342559946057496,4.301522808800321,-0.7256059979331125,-0.04886783456864667,-2.3672668141945716,-0.6767381633644659
oddball_flex,flex,FC1,fronto-central,2,2.0775758153093458,5.151139297170189,-0.6976590697152063,0.1203377374472368,-3.073563481860843,-0.817996807162443
oddball_flex,flex,FC2,fronto-central,1,2.152135788043514,4.20363139198974,-0.4852470754026873,0.0510081212830718,-2.051495603946226,-0.536255196685759
oddball_flex,flex,FC2,fronto-central,2,2.2171080073904084,2.6637689597241456,-0.24754737927144999,-0.22311101265542868,-0.44666095233373726,-0.024436366616021304
oddball_flex,flex,FC5,fronto-central,1,1.4865324887095315,3.8626953834635276,-0.6255671680468935,-0.554061153335237,-2.376162894753996,-0.07150601471165652
oddball_flex,flex,FC5,fronto-central,2,1.679838122074515,2.92051047461315,-0.543361540746039,0.36592846664115714,-1.2406723525386347,-0.9092900073871961
oddball_flex,flex,FC6,fronto-central,1,3.483868519361284,5.261643024126878,-0.06563066287137938,-0.10169838755536029,-1.7777745047655937,0.03606772468398091
oddball_flex,flex,FC6,fronto-central,2,3.5655859591571293,4.026094020334737,0.11026472014830827,-0.6233530020655977,-0.4605080611776078,0.733617722213906
oddball_flex,flex,FT10,fronto-central,1,3.4823676746229166,4.742294151466093,0.710443328332341,-0.39690887961799226,-1.2599264768431766,1.1073522079503333
oddball_flex,flex,FT10,fronto-central,2,3.896766442290889,4.28509051835816,0.7364129693651121,-0.15687833350975688,-0.38832407606727104,0.893291302874869
oddball_flex,flex,FT9,fronto-central,1,1.0265752451141517,3.932541331264035,-0.4639839523267544,0.8712693766252165,-2.905966086149883,-1.3352533289519708
oddball_flex,flex,FT9,fronto-central,2,1.4032163046808677,2.8443648025398667,0.1216655024360138,0.9004888543388085,-1.441148497858999,-0.7788233519027947
oddball_flex,flex,Fp1,prefrontal,1,3.3954591007005384,8.22627825449832,-1.7648507841515917,-0.6128344421497145,-4.830819153797782,-1.1520163420018772
oddball_flex,flex,Fp1,prefrontal,2,4.786252912321327,4.920828969637758,-0.9684323560686808,0.23959601778420878,-0.13457605731643074,-1.2080283738528896
oddball_flex,flex,Fp2,prefrontal,1,4.0729845297591645,7.850236038854694,-1.896112847632969,-0.7396729530620215,-3.77725150909553,-1.1564398945709473
oddball_flex,flex,Fp2,prefrontal,2,4.973777399000788,4.806231312326446,-0.7835656021764831,-0.11144771217983263,0.16754608667434212,-0.6721178899966505
oddball_flex,flex,Fz,frontal,1,2.5635132749315064,5.041078684498062,-0.7972186872663256,0.012196227426552558,-2.477565409566556,-0.8094149146928782
oddball_flex,flex,Fz,frontal,2,2.7947547636920795,3.3313807250931635,-0.6577447509662155,-0.3242310428393733,-0.536625961401084,-0.3335137081268422
oddball_flex,flex,O1,occipital,1,3.616469639651868,5.818997063482123,1.81664748417263,1.293895013328916,-2.2025274238302552,0.5227524708437139
oddball_flex,flex,O1,occipital,2,4.4855827326605855,4.838575914927218,3.1276370188802476,2.09117002102119,-0.35299318226663257,1.0364669978590575
oddball_flex,flex,O2,occipital,1,3.202378571733468,5.70842472614316,1.1628755568307505,1.7425393968495093,-2.5060461544096917,-0.5796638400187588
oddball_flex,flex,O2,occipital,2,3.9235135219080193,4.530338368754018,2.2874116273404614,0.4914324837578714,-0.6068248468459987,1.79597914358259
oddball_flex,flex,Oz,occipital,1,0.7558042281262847,3.3761267003936672,0.5520253840932606,1.17140212428628,-2.6203224722673824,-0.6193767401930194
oddball_flex,flex,Oz,occipital,2,0.5283699914251606,2.373356406366138,1.7151117891233367,1.3614673406947002,-1.8449864149409771,0.3536444484286365
oddball_flex,flex,P3,parietal,1,1.2551031986983427,3.875434972075384,-0.046083139469356056,0.7537181635222638,-2.6203317733770413,-0.7998013029916199
oddball_flex,flex,P3,parietal,2,1.8280981920200001,2.9547741263501233,0.6420335877965856,1.0035615502377255,-1.1266759343301231,-0.36152796244113994
oddball_flex,flex,P4,parietal,1,1.696110313359175,3.9577068506069466,-0.05473963776147897,0.715492018409781,-2.2615965372477715,-0.77023165617126
oddball_flex,flex,P4,parietal,2,2.1331945680698667,2.871724473043074,0.8306469494363434,0.28392519700386254,-0.7385299049732073,0.5467217524324809
oddball_flex,flex,P7,parietal,1,-0.3059495883760955,1.7776819491375617,-0.16904665826855306,0.20741870942061852,-2.083631537513657,-0.3764653676891716
oddball_flex,flex,P7,parietal,2,0.3657366841873203,1.9599221165144902,0.7256377224329268,1.2521944395199922,-1.59418543232717,-0.5265567170870654
oddball_flex,flex,P8,parietal,1,2.657873561631417,4.620119249058054,0.39469271313832754,0.7481613363487007,-1.9622456874266372,-0.3534686232103732
oddball_flex,flex,P8,parietal,2,3.0855423816106335,3.9328108042610355,1.0026766713779247,0.337401116645198,-0.8472684226504019,0.6652755547327267
oddball_flex,flex,Pz,parietal,1,0.5160853960922396,3.1446470860993907,-0.1437747522674687,1.0244384176364179,-2.6285616900071513,-1.1682131699038865
oddball_flex,flex,Pz,parietal,2,0.9286818061368298,2.4272640379542496,0.5277850592107005,0.635877611764708,-1.4985822318174198,-0.10809255255400751
oddball_flex,flex,T7,central,1,0.36481703730924453,2.6751879697433143,-0.6835528704542546,0.13232207489059605,-2.3103709324340698,-0.8158749453448506
oddball_flex,flex,T7,central,2,0.9463303585753412,2.500532315006882,-0.03132657345675452,0.9333473745776534,-1.554201956431541,-0.9646739480344079
oddball_flex,flex,T8,central,1,3.7411985782672232,5.118698715992494,0.2913268919607699,-0.12382029831163671,-1.3775001377252707,0.4151471902724066
oddball_flex,flex,T8,central,2,4.220258922626552,4.340406565763824,0.7545317172190503,0.08266985865933968,-0.12014764313727166,0.6718618585597107
