session,device,channel,region,quarter,start_min,p2p_median_uv,pct_windows_over_common,pops_per_min
gng_epocx,epocx,T8,central,2,7.508708286762279,22.13476170497453,0.0,0.0
gng_epocx,epocx,FC6,fronto-central,2,7.508708286762279,16.998096504512084,0.0,0.0
gng_epocx,epocx,F4,frontal,2,7.508708286762279,21.87684291706816,2.0289855072463765,1.390790705797814
gng_epocx,epocx,F8,frontal,2,7.508708286762279,15.380595162998922,0.0,0.0
gng_epocx,epocx,AF4,prefrontal,2,7.508708286762279,21.108810437397196,0.0,0.0
gng_epocx,epocx,AF3,prefrontal,3,10.384770071849804,9.834528703620972,0.0,0.0
gng_epocx,epocx,F7,frontal,3,10.384770071849804,15.956502716816978,0.0,0.0
gng_epocx,epocx,F3,frontal,3,10.384770071849804,15.67805415403609,0.0,0.0
gng_epocx,epocx,FC5,fronto-central,3,10.384770071849804,13.795861175514368,0.0,0.0
gng_epocx,epocx,T7,central,3,10.384770071849804,20.428162386475712,0.0,0.0
gng_epocx,epocx,P7,parietal,3,10.384770071849804,25.67119973243082,0.0,0.0
gng_epocx,epocx,O1,occipital,3,10.384770071849804,28.78251897319803,0.0,0.0
gng_epocx,epocx,O2,occipital,3,10.384770071849804,25.376992881509565,0.0,0.0
gng_epocx,epocx,P8,parietal,3,10.384770071849804,21.055110493326858,0.0,0.0
gng_epocx,epocx,T8,central,3,10.384770071849804,20.761530410598787,0.0,0.0
gng_epocx,epocx,FC6,fronto-central,3,10.384770071849804,17.071258679030194,0.0,0.0
gng_epocx,epocx,F4,frontal,3,10.384770071849804,21.504479007875027,2.023121387283237,1.7384883822472674
gng_epocx,epocx,F8,frontal,3,10.384770071849804,15.468358707632643,0.0,0.0
gng_epocx,epocx,AF4,prefrontal,3,10.384770071849804,20.184896147744496,0.8670520231213872,0.3476976764494535
gng_epocx,epocx,AF3,prefrontal,4,13.26083185693733,9.803835858013926,0.0,0.0
gng_epocx,epocx,F7,frontal,4,13.26083185693733,17.28674432447471,0.0,0.0
gng_epocx,epocx,F3,frontal,4,13.26083185693733,16.14433116359426,0.0,0.0
gng_epocx,epocx,FC5,fronto-central,4,13.26083185693733,13.380507123684124,0.0,0.0
gng_epocx,epocx,T7,central,4,13.26083185693733,21.60243289192205,0.0,0.0
gng_epocx,epocx,P7,parietal,4,13.26083185693733,24.32372318448335,0.0,0.0
gng_epocx,epocx,O1,occipital,4,13.26083185693733,28.138566222377797,0.0,0.0
gng_epocx,epocx,O2,occipital,4,13.26083185693733,23.88543816802875,0.0,0.0
gng_epocx,epocx,P8,parietal,4,13.26083185693733,19.698555341169516,0.0,0.0
gng_epocx,epocx,T8,central,4,13.26083185693733,21.015334438858595,0.0,0.0
gng_epocx,epocx,FC6,fronto-central,4,13.26083185693733,16.902235024924714,0.2915451895043732,0.0
gng_epocx,epocx,F4,frontal,4,13.26083185693733,30.06241378717737,1.1661807580174928,1.390790705797814
gng_epocx,epocx,F8,frontal,4,13.26083185693733,15.427872952566865,0.0,0.0
gng_epocx,epocx,AF4,prefrontal,4,13.26083185693733,21.101140368314372,0.0,0.0
gng_flex,flex,C3,central,1,3.9611116307457754,14.426754568355726,1.4534883720930232,0.3484026556868904
gng_flex,flex,T7,central,1,3.9611116307457754,17.788556998384152,1.1627906976744187,0.0
gng_flex,flex,FC1,fronto-central,1,3.9611116307457754,21.2857312845833,0.0,0.0
gng_flex,flex,FC5,fronto-central,1,3.9611116307457754,16.091450687318247,0.872093023255814,0.3484026556868904
gng_flex,flex,FT9,fronto-central,1,3.9611116307457754,26.72740520981143,2.3255813953488373,0.6968053113737808
gng_flex,flex,F3,frontal,1,3.9611116307457754,19.925497207750922,0.0,0.0
gng_flex,flex,F7,frontal,1,3.9611116307457754,20.488452437030688,0.0,0.0
gng_flex,flex,Fp1,prefrontal,1,3.9611116307457754,23.305007391011472,1.4534883720930232,0.0
gng_flex,flex,Pz,parietal,1,3.9611116307457754,18.24929716221655,0.29069767441860467,0.0
gng_flex,flex,Cz,central,1,3.9611116307457754,18.458619442354934,0.0,0.0
gng_flex,flex,O1,occipital,1,3.9611116307457754,36.40974414192184,0.0,0.0
gng_flex,flex,PO9,occipital,1,3.9611116307457754,38.3038225475161,5.813953488372093,1.0452079670606713
gng_flex,flex,P3,parietal,1,3.9611116307457754,19.333292989300404,0.0,0.0
gng_flex,flex,P7,parietal,1,3.9611116307457754,25.2749038394983,0.0,0.0
gng_flex,flex,CP1,centro-parietal,1,3.9611116307457754,16.229143633496545,0.0,0.0
gng_flex,flex,CP5,centro-parietal,1,3.9611116307457754,15.36591176088583,0.0,0.0
gng_flex,flex,C4,central,1,3.9611116307457754,16.062041322582616,0.0,0.0
gng_flex,flex,T8,central,1,3.9611116307457754,27.023651811514625,0.0,0.0
gng_flex,flex,FC2,fronto-central,1,3.9611116307457754,15.49724576778592,0.0,0.0
gng_flex,flex,FC6,fronto-central,1,3.9611116307457754,20.799974807804546,0.0,0.0
gng_flex,flex,FT10,fronto-central,1,3.9611116307457754,27.907991505431784,0.872093023255814,0.3484026556868904
gng_flex,flex,F4,frontal,1,3.9611116307457754,21.333850540394685,0.0,0.0
gng_flex,flex,F8,frontal,1,3.9611116307457754,21.23031954121709,0.0,0.0
gng_flex,flex,Fp2,prefrontal,1,3.9611116307457754,17.92365877556792,0.5813953488372093,0.0
gng_flex,flex,Oz,occipital,1,3.9611116307457754,39.837204011617764,0.0,0.0
gng_flex,flex,Fz,frontal,1,3.9611116307457754,17.927384930786225,0.0,0.0
gng_flex,flex,O2,occipital,1,3.9611116307457754,24.961105326607186,0.0,0.0
gng_flex,flex,PO10,occipital,1,3.9611116307457754,26.031974763263644,3.1976744186046515,0.6968053113737808
gng_flex,flex,P4,parietal,1,3.9611116307457754,17.249800708361015,0.0,0.0
gng_flex,flex,P8,parietal,1,3.9611116307457754,24.05170250081538,0.0,0.0
gng_flex,flex,CP2,centro-parietal,1,3.9611116307457754,32.00518952656929,0.0,0.0
gng_flex,flex,CP6,centro-parietal,1,3.9611116307457754,20.274850895956867,0.0,0.0
gng_flex,flex,C3,central,2,6.831353816553626,13.60089471787532,1.1594202898550725,0.0
gng_flex,flex,T7,central,2,6.831353816553626,18.343252846710577,4.3478260869565215,0.6968053113737808
gng_flex,flex,FC1,fronto-central,2,6.831353816553626,38.18432338532945,0.2898550724637681,0.0
gng_flex,flex,FC5,fronto-central,2,6.831353816553626,15.92732355349225,1.1594202898550725,0.0
gng_flex,flex,FT9,fronto-central,2,6.831353816553626,26.591273926312386,3.4782608695652173,0.0
gng_flex,flex,F3,frontal,2,6.831353816553626,19.451590841167135,2.318840579710145,0.3484026556868904
gng_flex,flex,F7,frontal,2,6.831353816553626,18.789740583801517,2.898550724637681,0.3484026556868904
