session,device,channel,region,state,pair,duration_s,hf_20_40_uv_rms,p2p_median_uv,p2p_p99_over_median,pct_windows_over_common,rail_pct,marked_bad
gng_flex,flex,Pz,parietal,closed,2,48.846500000000006,1.2519093524754714,14.842886562215394,2.1017491248223554,0.0,0.613682092555332,False
gng_flex,flex,Cz,central,closed,2,48.846500000000006,0.9024452235705575,11.275740317115353,1.7300183890484166,0.0,0.4535546613011402,False
gng_flex,flex,O1,occipital,closed,2,48.846500000000006,4.172261334331928,33.63675217106148,1.2410199923008982,0.0,2.0129107981220655,True
gng_flex,flex,PO9,occipital,closed,2,48.846500000000006,2.3635409168940162,34.427430053025525,1.6587505124281465,0.0,1.0848423876592892,True
gng_flex,flex,P3,parietal,closed,2,48.846500000000006,1.759103014058534,18.193917461605203,1.4516256453671914,0.0,0.4753521126760563,False
gng_flex,flex,P7,parietal,closed,2,48.846500000000006,2.10130387039246,22.07560687459852,1.5304678466006014,0.0,0.4954728370221328,False
gng_flex,flex,CP1,centro-parietal,closed,2,48.846500000000006,1.0631104594086833,13.03699185239904,1.4226855404918162,0.0,0.534037558685446,False
gng_flex,flex,CP5,centro-parietal,closed,2,48.846500000000006,1.266398366759303,14.473598542846192,1.6614945888318857,0.0,0.41918175720992623,False
gng_flex,flex,C4,central,closed,2,48.846500000000006,1.1267933902814753,14.176308718585716,1.5009326722375151,0.0,0.5549966465459424,False
gng_flex,flex,T8,central,closed,2,48.846500000000006,1.6209162371111958,21.24311768225068,1.381588592464435,0.0,0.8735747820254862,False
gng_flex,flex,FC2,fronto-central,closed,2,48.846500000000006,1.124348468087155,12.564195010762617,1.451552945611856,0.0,0.37139503688799463,False
gng_flex,flex,FC6,fronto-central,closed,2,48.846500000000006,1.30091792749306,15.938052360808182,3.5374994775657926,0.0,0.5918846411804158,False
gng_flex,flex,FT10,fronto-central,closed,2,48.846500000000006,1.7720951630564747,22.687160428680926,1.5726612325397424,0.0,0.6027833668678739,False
gng_flex,flex,F4,frontal,closed,2,48.846500000000006,1.233688544815034,15.203836776656656,1.428663465214049,0.0,0.562541918175721,False
gng_flex,flex,F8,frontal,closed,2,48.846500000000006,1.4233903558619938,18.48646159410228,1.63837622458827,0.0,0.7042253521126761,False
gng_flex,flex,Fp2,prefrontal,closed,2,48.846500000000006,1.1075695579932994,14.631461826179267,1.6243090092452828,0.0,1.4017437961099932,False
gng_flex,flex,Oz,occipital,closed,2,48.846500000000006,3.2113301303730086,55.37461029951399,1.8212197822985485,0.0,1.2692823608316566,False
gng_flex,flex,Fz,frontal,closed,2,48.846500000000006,1.039415934446044,14.24471522415918,1.5789764198208318,0.0,0.4678068410462776,False
gng_flex,flex,O2,occipital,closed,2,48.846500000000006,1.9767339145571687,20.983568346969207,1.449744644037769,0.0,1.063044936284373,False
gng_flex,flex,PO10,occipital,closed,2,48.846500000000006,1.7441571299890835,19.0450147553793,1.4763432129939762,0.0,0.8601609657947685,True
gng_flex,flex,P4,parietal,closed,2,48.846500000000006,1.2037256875658606,14.159704672778066,1.8751491289373088,0.0,0.6212273641851107,False
gng_flex,flex,P8,parietal,closed,2,48.846500000000006,2.3443297271670627,21.67689772454746,2.2370616956915104,0.0,0.9347753185781355,False
gng_flex,flex,CP2,centro-parietal,closed,2,48.846500000000006,1.0000005984881537,12.550647266686404,4.580147419960116,0.0,0.6790744466800805,False
gng_flex,flex,CP6,centro-parietal,closed,2,48.846500000000006,1.795372858544642,18.127202612860433,1.4431589101527353,0.0,0.7109322602280348,False
gng_flex,flex,C3,central,open,2,65.99329999999998,1.1385191036344244,13.77546806307626,2.164349164834326,0.0,0.42253521126760557,False
gng_flex,flex,T7,central,open,2,65.99329999999998,2.615015411441649,23.356525289394988,1.6334354569522407,0.0,0.34121395036887997,False
gng_flex,flex,FC1,fronto-central,open,2,65.99329999999998,1.4191786554548447,16.653770384016575,3.5260598938571395,0.0,0.39570757880617036,False
gng_flex,flex,FC5,fronto-central,open,2,65.99329999999998,1.9816396267018184,18.956419362867223,1.9650404115824138,0.0,0.39403085177733066,False
gng_flex,flex,FT9,fronto-central,open,2,65.99329999999998,2.244400218328526,33.12057508270895,2.2109463582552937,0.0,0.34624413145539906,False
