time,value,condition,sample,sample_error_ms,pressed,correct,rt_from_marker_s,block
556.6204,GnG-low,nogo,71239,-3.715743529255633,False,True,,0
558.5148,GnG-low,nogo,71482,0.09443829628708045,False,True,,0
560.2127,GnG-low,nogo,71699,-2.253047681733733,False,True,,0
561.8388,GnG-low,nogo,71907,-3.1644244468225224,False,True,,0
564.8242,GnG-low,nogo,72290,3.873477256092883,False,True,,0
566.7231,GnG-low,nogo,72533,3.6386396415082345,False,True,,0
568.3591,GnG-low,nogo,72742,0.9890165543993135,False,True,,0
569.9258,GnG-high,go,72942,-3.3057575374186854,True,True,0.444683949417773,0
594.3969,GnG-low,nogo,76074,-2.9573775029803073,False,True,,1
595.9518,GnG-high,go,76273,-3.107520247112916,True,True,0.9244379859936929,1
597.4821,GnG-low,nogo,76469,-1.8295639663392649,False,True,,1
599.2995,GnG-low,nogo,76702,1.491388096042101,False,True,,1
601.0166,GnG-low,nogo,76922,3.1636252268754106,False,True,,1
602.4242,GnG-low,nogo,77102,1.9364557314247577,False,True,,1
604.0679,GnG-low,nogo,77312,-0.9761681776581099,False,True,,1
605.7063,GnG-low,nogo,77522,1.3609681243451632,False,True,,1
607.2731,GnG-high,go,77722,-2.5359695224551615,True,True,0.4041880409055689,1
609.2352,GnG-low,nogo,77973,-3.7323633195001094,False,True,,1
611.0387,GnG-low,nogo,78204,-2.029651916814146,False,True,,1
612.8025,GnG-low,nogo,78430,-0.2472119615504198,False,True,,1
614.3183,GnG-low,nogo,78624,-0.21840694637376146,False,True,,1
615.8186,GnG-low,nogo,78816,-0.4447891564041129,False,True,,1
617.4463,GnG-low,nogo,79024,-2.898719325798993,False,True,,1
619.3058,GnG-high,go,79262,-2.832749478216101,True,True,0.31878690488516453,1
620.8348,GnG-low,nogo,79458,-0.4146805616755955,False,True,,1
622.4779,GnG-low,nogo,79668,-2.365661437693234,False,True,,1
624.1545,GnG-low,nogo,79883,0.8641653736276567,False,True,,1
625.7066,GnG-high,go,80082,3.6903850900671387,True,True,0.39888803156587493,1
627.3979,GnG-low,nogo,80298,-0.3727846379888433,False,True,,1
628.9499,GnG-low,nogo,80497,2.5317460600717823,False,True,,1
630.7402,GnG-low,nogo,80726,1.5192757421118586,False,True,,1
632.4316,GnG-high,go,80942,-2.190880815874152,True,True,0.3131035919874917,1
634.0631,GnG-low,nogo,81151,-0.6965908693246092,False,True,,1
635.6184,GnG-high,go,81350,-1.0978157157524038,True,True,0.34155129528356926,1
637.5367,GnG-low,nogo,81596,2.752910277763476,False,True,,1
639.1635,GnG-low,nogo,81804,1.0443936868114179,False,True,,1
640.9659,GnG-low,nogo,82035,3.6162485877184736,False,True,,1
642.5015,GnG-low,nogo,82231,-0.6564159281197135,False,True,,1
644.1503,GnG-low,nogo,82442,-0.7419255186960072,False,True,,1
645.8007,GnG-low,nogo,82653,-2.658476362057627,False,True,,1
647.3757,GnG-low,nogo,82855,0.6260665873014659,False,True,,1
649.1584,GnG-low,nogo,83083,-0.42292314151382016,False,True,,1
650.598,GnG-high,go,83267,-2.275448119689827,True,True,0.3489833314356481,1
652.4017,GnG-low,nogo,83498,-1.2409461611468942,False,True,,1
654.0458,GnG-low,nogo,83709,3.2184010705123,False,True,,1
655.4474,GnG-high,go,83888,0.3636797528088209,True,True,0.3374411872352884,1
657.2024,GnG-low,nogo,84113,3.4136331906893247,False,True,,1
659.3049,GnG-low,nogo,84382,2.4855946422803754,False,True,,1
