marker,peak_uv,onset_burst_s,offset_burst_s,contact,edge_spacing_s,sound_onset_s,sound_onset_from_offset_s
105.4496,1384.6597315906633,0.07235414365179972,0.1783461728059283,True,0.10599202915412857,0.06985414365179972,0.08084617280592829
106.4506,1726.7694360845364,0.07295438546819989,0.17412704042569013,True,0.10117265495749024,0.07045438546819989,0.07662704042569013
107.4505,1425.0769770887946,0.07128930127862522,0.17666292110602416,True,0.10537361982739894,0.06878930127862522,0.07916292110602416
108.451,1402.5450231393509,0.07130197660767017,0.17627927911881378,True,0.10497730251114361,0.06880197660767016,0.07877927911881377
109.4703,1507.6359488549715,0.07423099659742029,0.17274264488751617,True,0.09851164829009589,0.07173099659742029,0.07524264488751617
110.471,1174.4919574253177,0.07185315237608854,0.17414785470586264,True,0.1022947023297741,0.06935315237608854,0.07664785470586263
111.4714,1194.3649970241224,0.0678379183064108,0.17264116768814566,True,0.10480324938173487,0.0653379183064108,0.07514116768814566
112.4721,1656.2593594037476,0.07089651443882596,0.17149466768210078,True,0.10059815324327483,0.06839651443882595,0.07399466768210078
113.4718,1730.1363606041805,0.07083887106172036,0.17070957136307358,True,0.09987070030135321,0.06833887106172036,0.07320957136307357
114.4742,2167.3358168452537,0.08179317305170852,0.1703195146334483,True,0.08852634158173978,0.07929317305170852,0.0728195146334483
115.4742,2146.472498363999,0.07603585544506024,0.17012842590506586,True,0.09409257046000562,0.07353585544506024,0.07262842590506585
116.4752,1794.2453740461876,0.08186710757912846,0.1683373652997218,True,0.08647025772059333,0.07936710757912846,0.07083736529972179
117.4762,1445.884248796651,0.08407867212061478,0.16713748905672787,True,0.0830588169361131,0.08157867212061477,0.06963748905672787
118.4774,1019.269899530119,0.07787094861206832,0.1673971608180855,True,0.08952621220601718,0.07537094861206832,0.0698971608180855
119.4772,1169.2913004354405,0.07927706072424312,0.16947875128995918,True,0.09020169056571606,0.07677706072424312,0.07197875128995918
120.4779,1334.3262056666294,0.0761461590466913,0.1727582098075486,True,0.09661205076085731,0.07364615904669129,0.0752582098075486
121.4795,1397.8557431456193,0.07350069337237201,0.1769060150239478,True,0.10340532165157577,0.07100069337237201,0.07940601502394778
122.4795,1570.6338327204462,0.07303447680608716,0.17638300663206205,True,0.1033485298259749,0.07053447680608715,0.07888300663206205
123.4815,1716.661163713732,0.072678439831079,0.17259500689677676,True,0.09991656706569776,0.07017843983107899,0.07509500689677676
124.4825,1524.8173570831348,0.07262563946287764,0.1715201117676497,True,0.09889447230477205,0.07012563946287764,0.0740201117676497
125.4842,1450.0722226612008,0.06859791969883962,0.17093561168445992,True,0.1023376919856203,0.06609791969883962,0.07343561168445992
126.4835,1255.3283986670613,0.0719520717181986,0.17142437932838336,True,0.09947230761018476,0.0694520717181986,0.07392437932838336
127.4844,1487.123360556562,0.06975287058409685,0.17065109063247505,True,0.1008982200483782,0.06725287058409685,0.07315109063247505
128.4846,1477.0673003155978,0.06954129069763532,0.17032719924722783,True,0.10078590854959252,0.06704129069763531,0.07282719924722783
129.486,1528.595758506493,0.07666246900605136,0.17014928589768694,True,0.09348681689163557,0.07416246900605136,0.07264928589768693
130.4867,1326.0973469947467,0.07661191713747666,0.16898813407916669,True,0.09237621694169003,0.07411191713747665,0.07148813407916668
131.4892,801.2275112320474,0.07969186608371875,0.16756137838235793,True,0.08786951229863918,0.07719186608371875,0.07006137838235793
132.4894,1021.03030551189,0.0785939049728729,0.16329679892303314,True,0.08470289395016024,0.0760939049728729,0.06579679892303314
133.489,1114.2872706000908,0.07963057358669581,0.16578877187051944,True,0.08615819828382362,0.07713057358669581,0.06828877187051943
134.5082,967.5458637534127,0.07732489757848948,0.16833087767866778,True,0.0910059801001783,0.07482489757848948,0.07083087767866778
135.5096,1045.559067183796,0.07544821509282573,0.17598631141578028,True,0.10053809632295455,0.07294821509282573,0.07848631141578027
136.5084,1023.1701015548902,0.07830007600765904,0.16791971228038843,True,0.0896196362727294,0.07580007600765903,0.07041971228038843
137.5116,1352.595372336285,0.073165485325697,0.17887532122185368,True,0.10570983589615668,0.070665485325697,0.08137532122185367
138.5113,1452.1627361754508,0.07292455974142414,0.1762200891563307,True,0.10329552941490655,0.07042455974142414,0.07872008915633069
139.5119,1497.8208093551002,0.07316883506702467,0.17424213823824822,True,0.10107330317122355,0.07066883506702466,0.07674213823824821
140.514,1414.4974475198305,0.06886765319844217,0.1747356485827036,True,0.10586799538426143,0.06636765319844216,0.0772356485827036
141.514,1403.333782113496,0.06870389250238904,0.17500298907703243,True,0.1062990965746434,0.06620389250238903,0.07750298907703243
142.5147,1330.1300529976318,0.07349913893548134,0.17125230916790113,True,0.09775317023241979,0.07099913893548133,0.07375230916790113
143.5161,1571.6101187912645,0.07161161954804372,0.17223913820245837,True,0.10062751865441465,0.06911161954804372,0.07473913820245837
144.5176,1720.0939600437837,0.07135431423531378,0.17126427499987656,True,0.09990996076456278,0.06885431423531378,0.07376427499987656
145.5173,1158.6661438491876,0.06773912278111086,0.17288066825317983,True,0.10514154547206897,0.06523912278111085,0.07538066825317982
146.5181,1297.8326099265755,0.07292083207074136,0.1715772498641341,True,0.09865641779339275,0.07042083207074136,0.07407724986413411
147.5177,1582.0262510548698,0.07077309790236866,0.17206117697366957,True,0.10128807907130091,0.06827309790236866,0.07456117697366957
148.5187,1396.1866566798158,0.06905642369761339,0.17471221358243602,True,0.10565578988482263,0.06655642369761339,0.07721221358243602
149.521,1856.261825267417,0.07205723420806719,0.17165999208444727,True,0.09960275787638008,0.06955723420806718,0.07415999208444726
150.5213,1682.125707709245,0.07163825461892928,0.17096650459885063,True,0.09932824997992135,0.06913825461892928,0.07346650459885062
151.5228,1590.4311848014852,0.07104743554663592,0.17131941020455257,True,0.10027197465791665,0.06854743554663592,0.07381941020455257
152.5232,1361.885815698817,0.07149580617699469,0.1714676939556301,True,0.09997188777863542,0.06899580617699469,0.0739676939556301
153.5229,1525.8377251521426,0.06906106645652361,0.17198106032764915,True,0.10291999387112553,0.06656106645652361,0.07448106032764915
154.5243,1729.4464302931963,0.07267350989041292,0.17169610315495967,True,0.09902259326454675,0.07017350989041292,0.07419610315495967
155.525,1466.3594435934244,0.06957378218199833,0.17367573553347992,True,0.10410195335148159,0.06707378218199833,0.07617573553347992
156.5259,1306.2037973848444,0.06791059938508992,0.17313518603820044,True,0.10522458665311052,0.06541059938508992,0.07563518603820044
157.5266,1471.684345664893,0.07259356197524125,0.17174191269515554,True,0.09914835071991429,0.07009356197524125,0.07424191269515554
158.528,1386.1322140233165,0.07210678383629666,0.17111361114691426,True,0.09900682731061759,0.06960678383629666,0.07361361114691425
159.5282,1477.7365920622815,0.06789863892641637,0.17212498965927872,True,0.10422635073286235,0.06539863892641637,0.07462498965927872
160.5287,1501.579727792829,0.06991621490059563,0.17379532911066137,True,0.10387911421006574,0.06741621490059563,0.07629532911066136
161.5297,1476.049797319672,0.06946523956755178,0.1738171337422645,True,0.10435189417471273,0.06696523956755178,0.07631713374226451
162.5315,1714.4274514623912,0.07082636284542544,0.17095620850745313,True,0.10012984566202769,0.06832636284542544,0.07345620850745313
163.5323,1395.6382496049296,0.07160617467672416,0.17162366575966675,True,0.1000174910829426,0.06910617467672416,0.07412366575966675
164.5318,1380.2437804557421,0.07313244291332535,0.17190475726603235,True,0.098772314352707,0.07063244291332535,0.07440475726603235
165.5327,1442.7834124237074,0.07321630813508789,0.17169526802850812,True,0.09847895989342023,0.07071630813508789,0.07419526802850812
166.5346,1802.5632944095987,0.07161469053297416,0.17123376810507757,True,0.0996190775721034,0.06911469053297416,0.07373376810507756
167.5356,1637.0867299048248,0.07170389892858275,0.17158440477735654,True,0.09988050584877378,0.06920389892858275,0.07408440477735653
168.5368,1476.4420777282176,0.0668733034869766,0.17134210337036712,True,0.10446879988339051,0.0643733034869766,0.07384210337036712
169.5364,1481.414722714039,0.0718376189469028,0.17146293662051196,True,0.09962531767360916,0.0693376189469028,0.07396293662051195
170.5373,1515.4917160702666,0.07157322855950236,0.17103662000034855,True,0.09946339144084619,0.06907322855950236,0.07353662000034855
171.5379,1374.6378903935647,0.07275580362445314,0.17121810776584417,True,0.09846230414139104,0.07025580362445313,0.07371810776584417
172.539,1743.5683363414466,0.07191588127240213,0.171289103106762,True,0.09937322183435986,0.06941588127240213,0.07378910310676198
173.5412,1782.8353366351278,0.06962864505797832,0.1709020536985497,True,0.10127340864057137,0.06712864505797832,0.07340205369854969
174.5418,1582.609120544683,0.07009926605047073,0.17075145066081251,True,0.10065218461034178,0.06759926605047073,0.07325145066081251
